Country,Date,Total Vaccinations Per Hundred,People Vaccinated Per Hundred,People Fully Vaccinated Per Hundred
Germany,2021-11,4176.110000000001,2095.83,2015.6699999999998
Germany,2021-12,5147.740000000002,2251.01,2154.54
Germany,2022-01,5862.490000000001,2310.05,2235.8900000000003
Germany,2022-02,5617.0,2114.0,2079.0
Germany,2022-03,5916.920000000001,2198.119999999999,2177.1000000000004
Hungary,2020-12,0.01,0,0
Hungary,2021-01,26.62,23.519999999999996,3.1100000000000003
Hungary,2021-02,154.91,111.13999999999997,43.769999999999996
Hungary,2021-03,568.4,431.14000000000004,137.26999999999998
Hungary,2021-04,1241.0,866.6899999999997,374.29999999999995
Hungary,2021-05,2322.6999999999994,1449.43,873.29
Hungary,2021-06,375.38,1223.0099999999995,982.5600000000001
Hungary,2021-07,0,808.49,765.0500000000001
Hungary,2021-08,0,1238.0700000000002,1197.1200000000003
Hungary,2021-09,125.71,1335.8899999999999,1272.6299999999999
Hungary,2021-10,392.54999999999995,1230.0,1183.26
Hungary,2021-11,561.23,1374.9099999999999,1320.88
Hungary,2021-12,308.59000000000003,1288.02,1228.09
Hungary,2022-01,808.47,1441.96,1381.69
Hungary,2022-02,667.71,1258.6599999999999,1211.0199999999998
Hungary,2022-03,506.17999999999995,1262.0300000000002,1218.8200000000002
Iceland,2020-12,1.32,1.32,0
Iceland,2021-01,10.02,7.279999999999999,2.74
Iceland,2021-02,82.18,53.71000000000001,28.47
Iceland,2021-03,246.20999999999998,169.84999999999997,76.36000000000001
Iceland,2021-04,308.4,218.42000000000002,90.19999999999999
Iceland,2021-05,775.0299999999999,558.15,250.49
Iceland,2021-06,1353.24,914.2400000000001,573.78
Iceland,2021-07,1103.96,646.74,584.2
Iceland,2021-08,827.43,450.4,423.95
Iceland,2021-09,1902.4899999999998,989.2400000000001,950.0999999999999
Iceland,2021-10,612.67,306.4,301.53
Iceland,2021-11,1155.7400000000002,540.0500000000001,531.6800000000001
Iceland,2021-12,1704.9100000000003,700.81,690.3
Iceland,2022-01,1618.36,649.0500000000001,618.7
Iceland,2022-02,1291.77,502.38999999999993,312.17
Iceland,2022-03,1090.81,419.81,392.97999999999996
Ireland,2020-12,0.09,0.09,0.0
Ireland,2021-01,60.71,56.58,4.1000000000000005
Ireland,2021-02,183.2,119.16,64.03999999999999
Ireland,2021-03,406.16999999999996,291.65,114.55999999999999
Ireland,2021-04,766.5200000000001,540.7899999999998,225.84
Ireland,2021-05,1452.3899999999999,1036.7799999999997,428.08
Ireland,2021-06,2233.7399999999993,1453.9699999999996,824.9800000000001
Ireland,2021-07,3304.7200000000003,1877.6900000000003,1525.33
Ireland,2021-08,4065.2200000000003,2232.05,1977.24
Ireland,2021-09,4309.570000000001,2278.0699999999997,2174.85
Ireland,2021-10,4498.82,2306.0099999999998,2265.4
Ireland,2021-11,4776.860000000001,2331.89,2292.4700000000003
Ireland,2021-12,5643.78,2431.65,2395.4400000000005
Ireland,2022-01,6342.71,2480.72,2413.82
Ireland,2022-02,5921.600000000001,2275.9199999999996,2220.1500000000005
Ireland,2022-03,5574.76,2120.999999999999,2084.66
Italy,2020-12,0.13,0.13,0
Italy,2021-01,54.220000000000006,48.93000000000001,5.32
Italy,2021-02,148.91999999999996,90.51,58.39
Italy,2021-03,376.70000000000005,260.26000000000005,116.41999999999999
Italy,2021-04,747.1899999999999,525.4399999999999,222.17
Italy,2021-05,1434.5000000000002,988.9,461.59999999999985
Italy,2021-06,2189.5,1488.2800000000002,756.21
Italy,2021-07,3124.8799999999997,1878.6500000000005,1312.9500000000003
Italy,2021-08,3806.86,2099.2400000000002,1780.21
Italy,2021-09,4067.7799999999993,2192.83,1947.03
Italy,2021-10,4498.77,2369.2200000000003,2167.9899999999993
Italy,2021-11,4619.15,2333.1,2173.34
Italy,2021-12,5357.86,2456.25,2281.32
Italy,2022-01,6173.55,2536.3299999999995,2331.1500000000005
Italy,2022-02,6127.290000000001,2342.0699999999997,2176.7099999999996
Italy,2022-03,6492.909999999998,2434.9400000000005,2291.45
Latvia,2020-12,0.35,0.35,0.0
Latvia,2021-01,22.71,20.07,2.62
Latvia,2021-02,62.650000000000006,39.53,23.120000000000008
Latvia,2021-03,170.65,138.04000000000002,32.6
Latvia,2021-04,346.81999999999994,294.21,52.73
Latvia,2021-05,887.3,659.3299999999999,238.09
Latvia,2021-06,1575.51,928.29,708.2999999999997
Latvia,2021-07,2053.39,1137.75,1048.67
Latvia,2021-08,2326.38,1299.3299999999997,1200.98
Latvia,2021-09,2497.7100000000005,1391.9299999999998,1291.1599999999999
