Country,Date,Vaccine,Total Vaccinations
Belgium,2021-11,Oxford/AstraZeneca,11385873
Belgium,2021-11,Pfizer/BioNTech,53876919
Belgium,2021-12,Johnson&Johnson,2114245
Belgium,2021-12,Moderna,9579580
Belgium,2021-12,Novavax,0
Belgium,2021-12,Oxford/AstraZeneca,14233092
Belgium,2021-12,Pfizer/BioNTech,77215422
Belgium,2022-01,Johnson&Johnson,1698723
Belgium,2022-01,Moderna,14528130
Belgium,2022-01,Novavax,0
Belgium,2022-01,Oxford/AstraZeneca,11386685
Belgium,2022-01,Pfizer/BioNTech,66335384
Belgium,2022-02,Johnson&Johnson,1701467
Belgium,2022-02,Moderna,16887547
Belgium,2022-02,Novavax,0
Belgium,2022-02,Oxford/AstraZeneca,11386823
Belgium,2022-02,Pfizer/BioNTech,68647154
Belgium,2022-03,Johnson&Johnson,1702498
Belgium,2022-03,Moderna,17066507
Belgium,2022-03,Novavax,107
Belgium,2022-03,Oxford/AstraZeneca,11386861
Belgium,2022-03,Pfizer/BioNTech,69725662
Bulgaria,2021-01,Pfizer/BioNTech,96807
Bulgaria,2021-01,Moderna,2387
Bulgaria,2021-02,Moderna,22461
Bulgaria,2021-02,Oxford/AstraZeneca,128622
Bulgaria,2021-02,Pfizer/BioNTech,313141
Bulgaria,2021-03,Moderna,86733
Bulgaria,2021-03,Oxford/AstraZeneca,704005
Bulgaria,2021-03,Pfizer/BioNTech,642223
Bulgaria,2021-04,Moderna,380393
Bulgaria,2021-04,Oxford/AstraZeneca,1221413
Bulgaria,2021-04,Pfizer/BioNTech,1660809
Bulgaria,2021-04,Johnson&Johnson,0
Bulgaria,2021-05,Johnson&Johnson,9303
Bulgaria,2021-05,Moderna,615528
Bulgaria,2021-05,Oxford/AstraZeneca,1477484
Bulgaria,2021-05,Pfizer/BioNTech,2566753
Bulgaria,2021-06,Johnson&Johnson,88230
Bulgaria,2021-06,Moderna,835460
Bulgaria,2021-06,Oxford/AstraZeneca,1832151
